bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1ytMwznETG,???????????????????????????????????€?????????USB?????????,http://i1.hdslb.com/bfs/archive/e9b49223dd496f500f28a326deb65b972ca06d20.jpg,614,381833,410174,653,????????????,2099406
BV15rMuzREe8,?????????????€???????????€?????????????????????????????????????????€??????????????€?????????????????€?,http://i2.hdslb.com/bfs/archive/802ffcfcab89ccf66bc4adc70cfc54682d3b047d.jpg,1642,30707,30622,200,????????????,157359
BV1vqMTzSE3n,?€?????€???????????????????????????????????????????????????????????????????,http://i1.hdslb.com/bfs/archive/d52fe1deed2643b63b0fe2663d4341ef928d9bd5.jpg,123,303806,284074,49,????????????,938858
BV1VHMbzgEFy,?????????????????????????????????????????€?????????????????????????€?????€????,http://i0.hdslb.com/bfs/archive/ec5b99a58f83a83f65e7bf5800ab8c66a6ddfb9c.jpg,104,121799,101735,60,?€??????????,4490429
BV13LMszZEwh,????€€???????????????????????€???,http://i1.hdslb.com/bfs/archive/5b09bc85f907284be73bace26f586fbab4d8d3ae.jpg,375,146525,120527,267,?????????,193767
BV1P3T6zXEdP,?€??????????????€?????????????????€?,http://i1.hdslb.com/bfs/archive/9eecddef80f7654b645b4f1baf72745c29106104.jpg,170,549107,80760,1050,?????????Polaris_D,5737
BV1V2MuzHEAj,ALLDAY PROJECT - ?€?DAY 1?€?,http://i0.hdslb.com/bfs/archive/4975b3b30afd00c0bcdca68f485558f2ae07e78b.jpg,757,292666,135500,1144,ALLDAYPROJECT,17588
BV1qeMTzQEWN,[TO DO X TXT] EP158 MOA??????: ??????????????? ?????????,http://i1.hdslb.com/bfs/archive/b7518455de6a7f2fe8cb8079261b5bc41b284f4b.jpg,2053,23507,34550,4088,TXT_OFFICIAL,566518
BV1VrMuzRESW,??????????????????????????????????????????????????????????????????????€????????????????2?€?P9,http://i1.hdslb.com/bfs/archive/79c17190bcb611b54aacd535a35b69a14a1b316d.jpg,2639,291815,314132,1487,??????????????????,573295
BV12WMezVEEG,CH.6???????????€????????????????????????????????????????????€???????€????????????????,http://i2.hdslb.com/bfs/archive/329226f9120f5adac98ce6db0648a6a67dd83ff1.jpg,787,70015,278624,184,??????-????????????,115660
