bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV19UjJzuEbp,【清华大学】DeepSeek从入门到精通，全程干货无废话！让你少走99%的弯路！,//i1.hdslb.com/bfs/archive/a6284695fbb1684a60b0384d836e5f02e2963d20.png,942:7,2099428,238379,2363,DeepSeek课堂,49801
BV1uNk1YxEJQ,【全748集】目前B站最全最细的AI大模型零基础全套教程，2025最新版，包含所有干货！七天就能从小白到大神！少走99%的弯路！存下吧！很难找全的！,//i2.hdslb.com/bfs/archive/d9fa277f02fb4865a6bac0ec35fcb69ffa01f5ab.png,931:47,15425648,1644519,5204,大模型官方课程,64976
BV1NEMEzaEUS,【保姆级教程】AI古装爆款短剧制作，12个作品涨粉100万，手把手教你青椒云+WebUI+FramePack+CosyVoice+Heygem玩转AI短剧赛道！,//i1.hdslb.com/bfs/archive/a0f8943be130d2c905c16513016a003a7c4671a2.jpg,38:43,471030,37211,16,小弟姚安,11547
BV1FvTUzuE8U,几百款AI工具，真正好用的是这12个......,//i2.hdslb.com/bfs/archive/efce379afbd2dd74e23c48283ed7eea01eb592cc.jpg,20:46,757694,96833,217,Xuan_酱,344647
BV15P6GYcEc3,【AI篇】AI 的十层理解，一口气，看懂 AI 的过去、现在与未来。,//i1.hdslb.com/bfs/archive/31f71401cacc3490b11e9d1eb19efa7505171da6.jpg,21:16,14556606,253886,356,浮世叁千问,897561
BV1cy4y1p7vp,【AI 教程】拜托三连了！这绝对是你能找到的最良心AI教程 『只用90分钟』       AI基础系统教程/海报设计/排版/详细步骤/软件排版学习/,//i2.hdslb.com/bfs/archive/b25542e7eb10715e16d7d2f4b89b22c5e2804380.jpg,132:59,138524450,4493097,16454,GenJi是真想教会你,2980827
BV1WvNbzSEZJ,【AI分享】AI机器人进化速度失控！Foundation全面押注人形，Wandercraft量产风暴席卷全球,//i2.hdslb.com/bfs/archive/e2a8c5543e63b6bf93da711f4a134f110c2d1e4b.jpg,42:32,29013,61,1,薛定猫AI,182
BV1x8zvYmE7G,【AI2024教程】全网最良心最全的AI全套100集，零基础到精通教程！基础软件+实用技巧教程！,//i0.hdslb.com/bfs/archive/3fefcf83c01274bc6aaa399db5a30c27579bb571.png,960:39,17254200,847651,2754,平面设计老教授,74122
BV1DKMuzUEfe,🐺🔥【AI狼人杀】血压拉满！发我金水的人，我该信吗？o3 Pro 和谷歌隐藏模型 Kingfall 来袭，豆包1.6……全员战损,//i2.hdslb.com/bfs/archive/e6baefd180e894d46a15a5422e53f12602d2d927.jpg,30:4,297975,27200,1568,十月枫林尽染,22158
BV1U8TCzTESp,AI的下一波革命发展比我们想象的还要快,//i1.hdslb.com/bfs/archive/29a8c19713e7772ed7537ea1447ea20366c094e2.jpg,18:29,553860,4073,0,马力在知群,328533
