bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1CwZ1YHERw,真人狼人杀？《迷失》2.0！最新悬疑力作《墨西哥太平间的九具尸体》上,//i1.hdslb.com/bfs/archive/164b447427fbe59dd61553451ee9ece3a3a5f3e8.jpg,1792,6479451,5564871,7384,小片片说大片,7634951
BV1QjMmzxESw,2025最新犯罪悬疑佳作《回声谷》，戛纳奥斯卡双料黑马，狂揽6项提名！,//i0.hdslb.com/bfs/archive/2b13ebf64b680daf628a2d60860d709e47aadc14.jpg,1126,259159,73510,240,犯叔说影,94183
BV1yj41197FJ,爆肝30天，18000字超燃解说！一口气读完马伯庸神作《长安的荔枝》！,//i1.hdslb.com/bfs/archive/d069338cc32048d39b922cec2e59a66419aed09c.jpg,2767,59379651,2345370,5377,一只萧包子,1428781
BV1Yc411u71G,韩国影史票房冠军是它？从头笑到尾的警匪片，韩国电影《极限职业》,//i2.hdslb.com/bfs/archive/2956d783741f2c926efedfed7c2d32b9289b0356.jpg,1887,63761775,2038767,6370,汤圆开心电影,229897
BV1ioMkzXEqs,国际大盗竞争第一名？耗资2亿最贵的网飞电影，动作喜剧《红色通缉令》,//i2.hdslb.com/bfs/archive/b9c829821014f9b06eedf886a41ac45675a5cea6.jpg,1837,280427,162836,495,汤圆开心电影,229897
BV1xKMGzjEDV,她看了100部犯罪电影，然后谋杀了仇人，最后完美脱罪！,//i2.hdslb.com/bfs/archive/05f6cf2a61064224f563e103f05083c89d37ddfb.jpg,1677,595251,84640,102,剧燃抓马,9630
BV1WejyzdEKA,一口气看完《唐探1900》！！！,//i0.hdslb.com/bfs/archive/e506ff94bac027a17adf33baf4e25e0bbc88d437.jpg,1468,1661988,67566,144,星赫电影,2947
BV1eS4y1n7GK,印度这次赢麻了！！3层大反转，真的很敢拍！《宿敌》,//i2.hdslb.com/bfs/archive/3007d4b4a34035d261e80e2d82e0fafb941e58d9.jpg,934,93131471,2106064,10689,小侠夜班车,1064994
BV1b44y1g7UD,【阿斗】爆肝4个月，世界评分最高的电视剧一次看爽！详细解说《绝命毒师》1-5季,//i1.hdslb.com/bfs/archive/0dcb91017d7cc4456ba85760a2e9f772b046b7cd.png,26186,98753443,18408758,214083,阿斗归来了,6954866
BV1MscqeLEpg,一夜暴富？幻灭的美国梦！被翻拍五次的世界名著！《了不起的盖茨比》,//i2.hdslb.com/bfs/archive/004b3529daa57da880be8429f2711ac70819c0d8.jpg,2386,13215051,2850673,1022,巧克力味的猪肘,280139
BV1xH7Az2EGA,【假装讲电影】爆笑！富家女上学！全班同学都是保镖假扮的！杀手都懵了！,//i2.hdslb.com/bfs/archive/2740026b8095e843d4f37767bd805dee438294e4.jpg,1250,1469451,3280602,9792,假装讲电影,2150195
BV16oEdz4E11,一口气看完爆笑喜剧《来都来了》 #电影来都来了 #影视解说,//i0.hdslb.com/bfs/archive/a736fce352cc043b87c48cf7c664ac73dac22554.jpg,2421,2483155,97324,456,宜乐时光,2760
BV1uE421A7hV,一口气看完韩国电影《安娜》：从她人那偷来的人生终究不属于你,//i1.hdslb.com/bfs/archive/916418850f84140934a89da06e8240ebe7c83bba.jpg,1589,27472874,453533,429,骆驼追剧,62779
BV1MEXSYbEyJ,"被杀猪盘骗走20万怎么办？专业人士教你""黑吃黑""，喜剧电影《骗骗喜欢你》",//i1.hdslb.com/bfs/archive/a623826bbfb555d5fec299d04f960e1e28c21864.jpg,2048,9352251,3517162,4540,汤圆开心电影,229897
BV1Vc411H7hp,某瓣9.4高分日剧，开播即封神！！《重启人生》成年人必看的一部电影,//i2.hdslb.com/bfs/archive/ab911e1471d41ec9d283a26b97637dd5e00269dc.jpg,1172,68243303,1360123,2413,小婉说电影,7258
BV1eCRqY6EDA,"高分悬疑片《无人生还》完美计划的大屠杀,全员惨死！黑暗童谣鼻祖！永恒经典推理名篇",//i0.hdslb.com/bfs/archive/b4a51c15defc2608d661e1783d3c5d082cdec4d6.jpg,1275,6214231,92644,110,深夜灵魂管,3036
BV1nxMzz7ET2,孤独啊！世界上有太多孤独的人，害怕迈出第一步...——《绿皮书》,//i2.hdslb.com/bfs/archive/b454c78b1309723cce4e7fa5c4b5afd8201d03de.jpg,1824,340431,5918562,1307,影岛阿蛙,170154
BV1GL411v76T,一口气看完《最后生还者》超燃解说 残忍和恐怖并存的一部丧尸电影 一口气看到爽 快艾特你胆小的朋友一起看,//i0.hdslb.com/bfs/archive/7a00a31ff6af13d91358a18ea462b29431c2def0.jpg,2310,68319969,190167,499,可乐影视作品,4756
BV1XoEpz7EW8,一口气看完科幻巨作《银河系》没想到会这么好看,//i2.hdslb.com/bfs/archive/3bbd4cc481324a1e6a6af840ffabae157521b684.jpg,1514,2759751,78392,246,晗晗影视,44020
BV1TmMqzsEdG,上映3天狂卷票房4.9亿，2025最新克苏鲁灾难爽片，《极寒潜袭》！,//i0.hdslb.com/bfs/archive/7f67bf8236e9d75536ffbabcebdb8b744353a32a.jpg,760,94445,157035,640,逐梦电影,91827
BV1S4jqz7Edr,2025悬疑佳作！她六岁谋杀父母，原因令人震惊！尺度引发争议，错过终生遗憾！,//i2.hdslb.com/bfs/archive/5038eadf87bf0361f134c13ec794d30305c7905e.jpg,2150,1666263,1562760,5210,竖了个三,956155
BV1Bef8YME6u,【西门】一脱成名，硬挺看完韩国大尺度电影《隐藏的面孔》,//i2.hdslb.com/bfs/archive/dfde41c37f3e5d02594ebcf0c8ea1715cd9620b6.jpg,1427,12614463,1075218,1603,来呀官人,929947
BV1ZENvzREsq,已婚贵妇追求刺激，晚上当贤妻，白天去青楼上班！经典电影《白日美人》,//i1.hdslb.com/bfs/archive/bf9546bf496f4bed3e8dd76407878b14818f6cd1.jpg,902,2124,10244,29,电影迷小雅,1832432
BV1McMGzSE1D,一家人十口被冻死在炎热的夏天，靠近后发现他们并不是冻死的，电影《永航员》,//i0.hdslb.com/bfs/archive/8ec6f121953d09f65f9fa5e6e82100fecbd8fc93.jpg,2167,604115,206233,553,染月解说,1836
BV1KtLLz5Eb8,2025杰森斯坦森最爆燃动作爽片，潦倒包工头对抗最强黑手党,//i0.hdslb.com/bfs/archive/26d2af46395bd3401bbdf98f5aa20aca2c9e44f9.jpg,1262,4605321,188837,502,黎叔聊电影,5945
BV1bdL3zBEpy,究极变态！食人狂魔！地球上最著名的食人魔汉尼拔！深扒解析《汉尼拔》P1,//i0.hdslb.com/bfs/archive/50f4621da01bc692eb7f98ec001d66b3676db828.jpg,1469,4663616,796214,1475,谁是阿WAI,159248
