bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1CAxaeHEeH,《高等数学》全程教学视频 2.0版【宋浩老师】（下册增加了黑板版）,//i0.hdslb.com/bfs/archive/85b77783310ecad59cbb44006122059f9bea0126.jpg,385124,22409358,28704859,193980,宋浩老师官方,9075570
BV1Eb411u7Fw,《高等数学》同济版 2024年更新|宋浩老师,//i1.hdslb.com/bfs/archive/db56877bf758e92f813c25705b6d5fc0eed20512.jpg,362168,195518681,192458671,3546867,宋浩老师官方,9075570
BV1KfMCz3E96,【期末冲刺上大分】高等数学下册6小时秘籍·从懵圈到数学超人·李天意2025高数下期末课,//i1.hdslb.com/bfs/archive/455efbbb07004f4c9c6fd739221a9f128e9cb41a.jpg,22145,291673,85434,515,李天意Providence,727923
BV1Hu411s7J1,《高等数学(下)》6小时速成课 | 框框老师（突击课，适合高等数学（微积分）期末考试、期中考试、补考、重修、专升本，考试不挂科）,//i1.hdslb.com/bfs/archive/ff3c014489ee9b5b87650fc4cd4b1eff9731d35f.jpg,25354,64931978,11101676,67941,框框老师课堂,1047170
BV1GK421t7S8,高等数学（下）基础与解法全集（涵盖所有）| 同济八版 | 从零开始 | 可用于期末、考研基础、专升本 高数下,//i1.hdslb.com/bfs/archive/369fc10dd8df040f3db2b743d87ff0f91293233f.png,77445,40032640,4025706,24574,一高数,1381893
BV1j44y1E7ot,【高等数学（上）】6小时从0基础直追满绩！,//i2.hdslb.com/bfs/archive/a6d9e92a8d8f423c15e67b65f2b23d3ce094a17e.jpg,21395,109246574,9296219,115511,李天意Providence,727923
BV1a14y187qn,《高等数学》正课，零废话，超精讲！【孔祥仁】,//i2.hdslb.com/bfs/archive/293e4a293cdc5e61894e7c1ca901ad1be07cf49a.png,459866,85267371,9266690,152184,孔祥仁,446526
BV1DE421M7AZ,《高等数学(下)》精讲课程 | 框框老师,//i2.hdslb.com/bfs/archive/bf12e3618f0e0072fdc29f90656485fc22e6f96d.jpg,64814,37428144,1748599,8241,框框老师课堂,1047171
BV1GW411A73u,猴博士【高等数学(下)】3小时不挂|微积分|高数,//i1.hdslb.com/bfs/archive/a27301bdb8e2e97b1ce57dd82d24c0d5c5ba0518.jpg,5781,221978026,10479428,31414,猴博士爱讲课,2283612
BV1Up4y1Y76a,【2024】【专升本高等数学】【基础全程班】【专升本高数】专转本专接本,//i2.hdslb.com/bfs/archive/c1749e2bcf56677c52df15605cf06afa1bcf747b.jpg,171219,150837693,34468751,814625,杰哥专升本,1064015
BV1UW411k7Jv,《微积分》《高等数学》全程教学视频--宋浩老师,//i0.hdslb.com/bfs/archive/c25a01e7e6cf66037b378c175e56b988530a3004.jpg,170078,212957356,41541830,789165,宋浩老师官方,9075570
BV1864y1T7Ks,【梨米特】同济版《高等数学》全程教学视频｜纯干货知识点解析，应该是全网最细｜微积分 | 高数,//i2.hdslb.com/bfs/archive/893797e808dee4da12a7b5d17ebcb20c7496e5d7.jpg,365750,163191289,19027225,187986,梨米特考研数学,728347
BV1HE411k7bX,【完整版】《高数/高等数学 上》9小时系统学习|期末拿高分【蜂考】,//i1.hdslb.com/bfs/archive/630569e5ac5aa374a302664ff7546c50becb2721.png,31721,178706213,1673531,8453,蜂考,764789
