bvid,status,message
BV1XkNazrEKq,SKIP,already downloaded
BV1Py5izFEYK,SKIP,already downloaded
BV1BhMTz9Evm,SKIP,already downloaded
BV1XMTxztE2B,SKIP,already downloaded
BV1BhXpYvERH,SKIP,already downloaded
BV1LsMczeEj3,SKIP,already downloaded
BV1y441187TB,SKIP,already downloaded
BV1GLjdzBERw,SKIP,already downloaded
BV1jDj2zXEXL,SKIP,already downloaded
BV1eUTxzcEPq,SKIP,already downloaded
BV1vRMBzBEVY,SKIP,already downloaded
BV19J4m1Y7wV,SKIP,already downloaded
BV1ubTpz7ETq,SKIP,already downloaded
BV1H2MJzwEs8,SKIP,already downloaded
BV1ZbN8zkEZG,SKIP,already downloaded
BV1NbJbzREng,SKIP,already downloaded
BV1iATzzuEW8,SKIP,already downloaded
BV1TGMEziExf,SKIP,already downloaded
BV1cNjqzYEYE,SKIP,already downloaded
BV1ZCMszBEZh,SKIP,already downloaded
BV1g6MqzFEUk,SKIP,already downloaded
BV1SnMVzREYS,SKIP,already downloaded
BV1ZJ4m1V78E,SKIP,already downloaded
BV1PUTKz8EHb,SKIP,already downloaded
BV1yVj3zcEn3,SKIP,already downloaded
BV1tFMczDEpY,SKIP,already downloaded
BV1i3TXz3Eq3,SKIP,already downloaded
BV13M1FYqETx,SKIP,already downloaded
BV1Bm42157SM,SKIP,already downloaded
BV1y7421Z73M,SKIP,already downloaded
BV1iVMbz1ERL,SKIP,already downloaded
BV1fGNvzfERf,SKIP,already downloaded
BV1eSMezxEMg,SKIP,already downloaded
BV1sd7QzmEiK,SKIP,already downloaded
BV1gtTRzMELg,SKIP,already downloaded
BV1xf421Q7UY,SKIP,already downloaded
BV1kEVfzHEyb,SKIP,already downloaded
BV1q5E4zYEup,SKIP,already downloaded
BV19k7gzLELK,SKIP,already downloaded
BV18bmVY7EMy,SKIP,already downloaded
BV1gX4y1h7SV,SKIP,already downloaded
BV1QH7nz6EaH,SKIP,already downloaded
BV1HC4y1b7vu,SKIP,already downloaded
BV1hJTTzMEvT,SKIP,already downloaded
BV1jFNizoEwV,SKIP,already downloaded
BV1rZM2zBEbp,SKIP,already downloaded
BV1D4421S7Sz,SKIP,already downloaded
BV18rM2znEgb,SKIP,already downloaded
BV1fxTyzZEDZ,SKIP,already downloaded
BV1iE411H7fs,SKIP,already downloaded
BV1Eu6uYFEH8,SKIP,already downloaded
BV1tL7YzAEQv,SKIP,already downloaded
BV1b3NezrEzc,SKIP,already downloaded
BV1F4411a7Bb,SKIP,already downloaded
BV1TtM4ztEcA,SKIP,already downloaded
BV17jjDzaEfr,SKIP,already downloaded
BV1JPTRz9EEx,SKIP,already downloaded
BV1LyM1zbE9m,SKIP,already downloaded
BV14mVizPEzy,SKIP,already downloaded
BV1h6MqzFEVt,SKIP,already downloaded
BV1nJMAz1EJU,SKIP,already downloaded
BV16Z42177Du,SKIP,already downloaded
BV1XM4y1M7nm,SKIP,already downloaded
BV1VzofY6EwP,SKIP,already downloaded
BV1NK7BzyEyc,SKIP,already downloaded
BV1H7PeePE4u,SKIP,already downloaded
BV1WyMHz3Eez,SKIP,already downloaded
BV1QMMuz7EeP,SKIP,already downloaded
BV1L7421d7dN,SKIP,already downloaded
BV1yYTazvEsu,SKIP,already downloaded
BV1HW4y1j7yb,SKIP,already downloaded
BV1ENM4zVEXD,SKIP,already downloaded
BV1j4QdYWENH,SKIP,already downloaded
BV1saSdYAEiB,SKIP,already downloaded
BV1NCTsz1EFj,SKIP,already downloaded
BV1hy411z7B7,SKIP,already downloaded
BV1McMGzSESG,SKIP,already downloaded
BV1pgMGzCEgi,SKIP,already downloaded
BV1WDNqzrESi,SKIP,already downloaded
BV1DD421A7SC,SKIP,already downloaded
BV1Za4y1s7om,SKIP,already downloaded
BV1jSTrz1Emx,SKIP,already downloaded
BV1MV4y1k7Zy,SKIP,already downloaded
BV12VTWzjEku,SKIP,already downloaded
BV1utTezmExz,SKIP,already downloaded
BV1W8cZeaEuv,SKIP,already downloaded
BV1rEMqz5EXx,SKIP,already downloaded
BV1tF4m1V7ig,SKIP,already downloaded
BV1S7L1zaE5M,SKIP,already downloaded
BV13Z421H7Ze,SKIP,already downloaded
BV1fnMczTEx3,SKIP,already downloaded
BV12aMBzWEPC,SKIP,already downloaded
BV11CTiz5EYY,SKIP,already downloaded
BV1uDEzz4Eh2,SKIP,already downloaded
BV1SndPY3E3r,SKIP,already downloaded
BV1fCj9z6EzN,SKIP,already downloaded
BV1dwL3zyEgt,SKIP,already downloaded
BV1pHV6zqEE7,SKIP,already downloaded
BV1U4MBzoEzg,SKIP,already downloaded
BV1ga4y1p7C7,SKIP,already downloaded
BV1TT421C7QB,SKIP,already downloaded
BV1a4MHzXE8B,SKIP,already downloaded
BV1PcZFYxEkz,SKIP,already downloaded
BV1oks7eeEUb,SKIP,already downloaded
BV1Cs421K7ok,SKIP,already downloaded
BV1HkzqY7ETP,SKIP,already downloaded
BV1oWT6zCEBR,SKIP,already downloaded
BV1pSNqzGEvd,SKIP,already downloaded
BV147Muz3EYE,SKIP,already downloaded
BV11zTezuEn9,SKIP,already downloaded
BV1eZ4y1w7TA,SKIP,already downloaded
BV1fH7BzYEzr,SKIP,already downloaded
BV1yjMtz9ELP,SKIP,already downloaded
BV1BYMuzcEUK,SKIP,already downloaded
BV1FLMGzgEjX,SKIP,already downloaded
BV12LEtzDEXg,SKIP,already downloaded
BV1tc74zEE8J,SKIP,already downloaded
BV1ttNbzsEWm,SKIP,already downloaded
BV199B4YKEsr,SKIP,already downloaded
BV1VgM1zXE43,SKIP,already downloaded
BV1hJ4m1u74c,SKIP,already downloaded
BV1jE7pznE79,SKIP,already downloaded
BV1tsTuzkEBY,SKIP,already downloaded
BV1Zh41127aX,SKIP,already downloaded
BV12wNqz5Ewg,SKIP,already downloaded
BV198411y73H,SKIP,already downloaded
BV1NKM2z5Eg7,SKIP,already downloaded
BV14HM1z5E7n,SKIP,already downloaded
BV16UxTeCEeZ,SKIP,already downloaded
BV1fnMvzNE2o,SKIP,already downloaded
BV1Nf7czCES2,SKIP,already downloaded
BV1T4411G7cR,SKIP,already downloaded
BV12S421X7Ev,SKIP,already downloaded
BV1euABewEeZ,SKIP,already downloaded
BV13w4m1k7kV,SKIP,already downloaded
BV1Bkv4eQEN1,SKIP,already downloaded
BV17tTYzZEms,SKIP,already downloaded
BV1wd2oYRECV,SKIP,already downloaded
BV1iT421y7J5,SKIP,already downloaded
BV1DGMFzXESV,SKIP,already downloaded
BV1XiJaz2EZE,SKIP,already downloaded
BV1tN41137yv,SKIP,already downloaded
BV1G14y197gp,SKIP,already downloaded
BV19c411R7o8,SKIP,already downloaded
BV1Aw411j7m5,SKIP,already downloaded
BV1mpMwz9ESo,SKIP,already downloaded
BV1814y1S7Kq,SKIP,already downloaded
BV1Jd7mzwEbX,SKIP,already downloaded
BV1VjMBzvEou,SKIP,already downloaded
BV1cnMjzpEW2,SKIP,already downloaded
BV1h5MmzoEZg,SKIP,already downloaded
BV1mKLzz1EMe,SKIP,already downloaded
BV1jjTozWE7U,SKIP,already downloaded
BV1g6jnzeE2r,SKIP,already downloaded
BV1RxMyzQET7,SKIP,already downloaded
BV1jcTjzGECa,SKIP,already downloaded
BV1RN4y1578T,SKIP,already downloaded
BV1Au411h7P4,SKIP,already downloaded
BV1vK7qzREXP,SKIP,already downloaded
BV1SZ99Y3Eud,SKIP,already downloaded
BV13VNBzdEr8,SKIP,already downloaded
BV1V8411y7rL,SKIP,already downloaded
BV1bqNqznEmh,SKIP,already downloaded
BV1fH4y1G7T4,SKIP,already downloaded
BV1xd1XYLE42,SKIP,already downloaded
BV1jU7TzyE2W,SKIP,already downloaded
BV126TizjE6Z,SKIP,already downloaded
BV1n4MTz4Ex6,SKIP,already downloaded
BV1fKMBz3EsX,SKIP,already downloaded
BV1vYMUzeExS,SKIP,already downloaded
BV1MG411a7Kw,SKIP,already downloaded
BV1QMyTYdEGN,SKIP,already downloaded
BV1d5TezxEgN,SKIP,already downloaded
BV1Xw411d7zu,SKIP,already downloaded
BV1M4TXzcE27,SKIP,already downloaded
BV1uN411D7CG,SKIP,already downloaded
BV1km421H7iP,SKIP,already downloaded
BV1C64y1P7S3,SKIP,already downloaded
BV1n5KGeCEtQ,SKIP,already downloaded
BV1N5TJzcEjn,SKIP,already downloaded
BV1cJ411Q7xX,SKIP,already downloaded
BV1NF4m137z5,SKIP,already downloaded
BV1HS71ztEK5,SKIP,already downloaded
BV1gxd6YCEUi,SKIP,already downloaded
BV1WjPPepES6,SKIP,already downloaded
BV1wwTezvEiL,SKIP,already downloaded
BV1hi421D7iL,SKIP,already downloaded
BV1enZ3Y3EiD,SKIP,already downloaded
BV1fUL7zqE1z,SKIP,already downloaded
BV19sMyzpEaT,SKIP,already downloaded
BV1B4Mzz2EQJ,SKIP,already downloaded
BV1zeMFzBEom,SKIP,already downloaded
BV1KPM2z1EsB,SKIP,already downloaded
BV1xH7GzBEoR,SKIP,already downloaded
BV1xGThzcEyr,SKIP,already downloaded
BV1U9NazPEFv,SKIP,already downloaded
BV1rz4y1j7Ca,SKIP,already downloaded
BV1m7421o7R1,SKIP,already downloaded
BV17QNhz2ERt,SKIP,already downloaded
BV138411S7x5,SKIP,already downloaded
BV1PF4m1M7Kh,SKIP,already downloaded
BV14oJwzDEAk,SKIP,already downloaded
BV1JM4m1m7oP,SKIP,already downloaded
BV1wM411H7VQ,SKIP,already downloaded
BV1D94y1s7hM,SKIP,already downloaded
BV1zpeyevEMu,SKIP,already downloaded
BV1UZ7Zz6ERH,SKIP,already downloaded
BV1cj421o7Av,SKIP,already downloaded
BV1VkzBYTEDp,SKIP,already downloaded
BV1jnGqzmE7t,SKIP,already downloaded
BV1FSMhzfEVn,SKIP,already downloaded
BV1jc5jzZEbh,SKIP,already downloaded
BV1z9MkzREa8,SKIP,already downloaded
BV1K3XRYzEH6,SKIP,already downloaded
BV1Ku41157Nh,SKIP,already downloaded
BV1QvM2zWEmD,SKIP,already downloaded
BV1rSMJzFEYJ,SKIP,already downloaded
BV1W8J7zsEFK,SKIP,already downloaded
BV1RrMnzWEnz,SKIP,already downloaded
BV1tx4y1Y7Vk,SKIP,already downloaded
BV1n5E9zEE5s,SKIP,already downloaded
BV1uP4y1L7nj,SKIP,already downloaded
BV1avCsYMEpv,SKIP,already downloaded
BV1JP4116766,SKIP,already downloaded
BV1xnTvz3EPL,SKIP,already downloaded
BV12r421L7EP,SKIP,already downloaded
BV1pjMqz1E3f,SKIP,already downloaded
BV1m6MyzGEC7,SKIP,already downloaded
BV1MR7YziEvd,SKIP,already downloaded
BV14C4y1r7g5,SKIP,already downloaded
BV1RdQmYhEP2,SKIP,already downloaded
BV1w3TKzREk5,SKIP,already downloaded
BV19LjZzLEzh,SKIP,already downloaded
BV1EW4y1N7it,SKIP,already downloaded
BV1NLMEzeEC6,SKIP,already downloaded
BV1vWMHzREnh,SKIP,already downloaded
BV15HMJzJEoE,SKIP,already downloaded
BV1JpMNzHE2m,SKIP,already downloaded
BV1mKGXzGEvp,SKIP,already downloaded
BV1DUT2zDEJE,SKIP,already downloaded
BV1tBNqzSE1k,SKIP,already downloaded
BV1BnNqzwEgc,SKIP,already downloaded
BV12UT6z4EJN,SKIP,already downloaded
BV1xHTjzZEZh,SKIP,already downloaded
BV17k4y1D72F,SKIP,already downloaded
BV1FyM4z2EpF,SKIP,already downloaded
BV1uYLyzYE6w,SKIP,already downloaded
BV1NsMnzKEPg,SKIP,already downloaded
BV1MGM8zKERX,SKIP,already downloaded
BV1S5TxzWE2w,SKIP,already downloaded
BV1XFJaz3E76,SKIP,already downloaded
BV1DEMizsE8Z,SKIP,already downloaded
BV15bMvzfEqW,SKIP,already downloaded
BV1WYdfYDE5m,SKIP,already downloaded
BV1UM4m1X7bS,SKIP,already downloaded
BV1mDmyYYEai,SKIP,already downloaded
BV1qhjmzsEJA,SKIP,already downloaded
BV1htNvzUE6A,SKIP,already downloaded
BV1uTTYzVEjr,SKIP,already downloaded
BV1NzTozBEs1,SKIP,already downloaded
BV17DNhz7EHx,SKIP,already downloaded
